Concat	MutantID	Plate	NR Well Location	NR Well Location	R Well Location	Genomic Location	Chromosome Location	Gene Description	Gene Name	Gene Role	% into ORF	Direction of Transposon in ORF (see materials and methods)	BLAST Score	Next Best BLAST Score	Levenshtein Distance	Ambiguous location ('yes' if difference between BLAST scores is 0 or if Levenshtein Distance > 4)
7C1	EC3689	7	C1	C	1	2230682	1	conserved hypothetical protein		Hypothetical proteins	17.6	-	599	0	0	
7B5	EC4053	7	B5	B	5	2273186	1	chorismate synthase	aroC	Amino acid biosynthesis	11.3	-	950	0	0	
7D5	EC4189	7	D5	D	5	2277223	1	flagellar biosynthetic protein FliQ	fliQ	Cellular processes	29.3	+	848	0	0	
7E7	EC4063	7	E7	E	7	2316108	1	hypothetical protein			30.4	+	827	0	0	
7C7	EC3967	7	C7	C	7	2351132	1	conserved hypothetical protein		Hypothetical proteins	47.1	+	440	0	0	
7B10	EC4293	7	B10	B	10	2429838	1	transcriptional regulator Crl	crl	Regulatory functions	17.4	-	1037	0	0	
7D12	EC4472	7	D12	D	12	2446063	1	"NADH:ubiquinone oxidoreductase, Na translocating, beta subunit"	nqrF	Energy metabolism	6.8	+	1164	0	0	
7D2	EC3486	7	D2	D	2	2560373	1	hypothetical protein			86.8	+	470	48.1	0	
7D8	EC3926	7	D8	D	8	2593317	1	thiol:disulfide interchange protein DsbC	dsbC	Protein fate	5.1	+	436	0	0	
7F4	EC4001	7	F4	F	4	2602392	1	conserved hypothetical protein		Hypothetical proteins	28.7	-	412	81.8	0	
7F9	EC4164	7	F9	F	9	2698436	1	ornithine carbamoyltransferase	argF	Amino acid biosynthesis	9.2	-	228	0	0	
7D6	EC4148	7	D6	D	6	2701192	1	conserved hypothetical protein		Hypothetical proteins	20	+	490	60	0	
7G10	EC4425	7	G10	G	10	2747207	1	ATP-dependent RNA helicase DbpA	dbpA	Transcription	21.1	+	577	0	0	
7E5	EC3940	7	E5	E	5	2784812	1	succinylglutamate 5-semialdehyde dehydrogenase	aruD	Energy metabolism	37.6	-	262	0	0	
7C11	EC4581	7	C11	C	11	2805177	1	"fimbrial assembly protein PilM, putative"		Cell envelope	40.9	-	638	0	0	
7H9	EC4233	7	H9	H	9	2830878	1	conserved hypothetical protein		Hypothetical proteins	8.8	-	456	0	0	
7B9	EC4022	7	B9	B	9	2941280	1	potassium uptake protein TrkH	trkH-2	Transport and binding proteins	12.4	-	283	0	0	
7F1	EC3771	7	F1	F	1	2956629	1	ATP synthase protein I	atpI	Energy metabolism	1.5	-	208	0	0	
7B6	EC4090	7	B6	B	6	38703	2	methyl-accepting chemotaxis protein		Cellular processes	32.4	+	452	0	0	
7A2	EC3819	7	A2	A	2	117879	2	conserved hypothetical protein		Hypothetical proteins	33	-	375	0	0	
7F5	EC3946	7	F5	F	5	136137	2	hypothetical protein			5.6	+	331	0	0	
7G11	EC4296	7	G11	G	11	144572	2	"ribose ABC transporter, permease protein"	rbsC	Transport and binding proteins	93.9	-	246	0	0	
7B11	EC4527	7	B11	B	11	148201	2	"pnuC protein, authentic point mutation"	pnuC	Transport and binding proteins	58	-	315	0	0	
7B12	EC4440	7	B12	B	12	150962	2	glycerophosphoryl diester phosphodiesterase	glpQ	Energy metabolism	23.9	-	93.7	0	0	
7C4	EC3991	7	C4	C	4	195891	2	frnE protein	frnE	Hypothetical proteins	9.8	+	208	0	0	
7C6	EC4134	7	C6	C	6	237941	2	haemolysin	hlyA	Cellular processes	15.6	+	676	0	1	
7F8	EC3934	7	F8	F	8	266924	2	SgaT protein	sgaT	Transport and binding proteins	8.9	-	555	0	0	
7G9	EC4222	7	G9	G	9	271944	2	antibiotic acetyltransferase		Cellular processes	1.8	-	398	0	0	
7G6	EC4196	7	G6	G	6	321513	2	conserved hypothetical protein		Hypothetical proteins	25.9	-	906	161	0	
7C2	EC3837	7	C2	C	2	324057	2	hypothetical protein			14.9	+	307	246	2	
7C8	EC3918	7	C8	C	8	257002	2	hypothetical protein			63.6	-	486	486	3	yes
7A1	EC3589	7	A1	A	1	60935	2	hypothetical protein			17.3	-	123	119	11	yes
7G7	EC4171	7	G7	G	7	403209	2	hypothetical protein			8.8	-	500	0	0	
7G8	EC3970	7	G8	G	8	413713	2	hypothetical protein			89.8	+	246	204	2	
7A7	EC3931	7	A7	A	7	453134	2	"exonuclease SbcC, putative"		DNA metabolism	50.5	+	559	0	0	
7B4	EC3955	7	B4	B	4	472424	2	"DedA family protein, authentic frameshift"		Unknown function	10.2	+	274	0	0	
7G4	EC4033	7	G4	G	4	489783	2	fatty acid cis/trans isomerase		Fatty acid and phospholipid metabolism	29.8	+	1015	0	1	
7F2	EC3580	7	F2	F	2	506617	2	hypothetical protein			24.2	+	230	0	0	
7G1	EC3789	7	G1	G	1	526192	2	"peptide ABC transporter, ATP-binding protein, putative"		Transport and binding proteins	14.5	-	779	0	0	
7E8	EC3928	7	E8	E	8	557673	2	transaldolase B	talB	Energy metabolism	58.3	+	720	0	0	
7A5	EC4051	7	A5	A	5	592064	2	fructokinase	cscK	Energy metabolism	55.3	-	113	0	0	
7E3	EC3824	7	E3	E	3	649974	2	"regulatory protein UhpC, putative"		Regulatory functions	17.1	-	228	0	3	
7H8	EC3978	7	H8	H	8	702462	2	"arginine ABC transporter, permease protein"	artQ	Transport and binding proteins	71.4	-	406	0	1	
7E4	EC3999	7	E4	E	4	704308	2	"arginine ABC transporter, ATP-binding protein"	artP	Transport and binding proteins	26.3	-	527	0	0	
7A4	EC3891	7	A4	A	4	946443	2	glutaredoxin 2	grx2	Energy metabolism	1.5	+	343	0	0	
7C9	EC4024	7	C9	C	9	1047111	2	chemotaxis protein methyltransferase CheR	cheR-3	Cellular processes	12.7	+	464	0	0	
8E2	EC4449	8	E2	E	2	4124	1	conserved hypothetical protein		Hypothetical proteins	11.6	+	910	0	0	
8E2	EC4449	8	E2	E	2	4124	1	ribonuclease P protein component	rnpA	Transcription	99.1	+	910	0	0	
8B10	EC4933	8	B10	B	10	18971	1	"glycyl-tRNA synthetase, alpha chain"	glyQ	Protein synthesis	98	-	248	0	0	
8B4	EC4264	8	B4	B	4	36978	1	SpoOM-related protein		Unknown function	6.1	-	135	0	0	
8A9	EC4964	8	A9	A	9	42918	1	sun protein	sun	Unknown function	29.6	-	805	0	0	
8F3	EC4557	8	F3	F	3	130907	1	conserved hypothetical protein		Hypothetical proteins	25.4	+	107	0	0	
8A10	EC4895	8	A10	A	10	206056	1	"hemolysin secretion ATP-binding protein, putative"		Transport and binding proteins	16.5	+	400	0	0	
8H4	EC4364	8	H4	H	4	237133	1	hypothetical protein			42.3	-	541	0	0	
8F1	EC4269	8	F1	F	1	317979	1	thioredoxin	trxA	Energy metabolism	62.8	+	811	0	0	
8G6	EC4813	8	G6	G	6	395966	1	hypothetical protein			29.1	-	143	0	1	
8F8	EC4870	8	F8	F	8	425490	1	MSHA biogenesis protein MshI	mshI	Cellular processes	13.3	+	537	0	0	
8B12	EC4926	8	B12	B	12	435582	1	MSHA pilin protein MshA	mshA	Cellular processes	25.1	-	706	0	0	
8D4	EC4272	8	D4	D	4	491435	1	twitching motility protein PilT	pilT-1	Cellular processes	13.6	-	283	0	0	
8D5	EC4510	8	D5	D	5	517085	1	"transcriptional regulator, DeoR family"		Regulatory functions	66.8	+	210	0	0	
8A11	EC4752	8	A11	A	11	611417	1	"lipoprotein, putative"		Cell envelope	8	-	161	0	0	
8F7	EC4676	8	F7	F	7	745072	1	chorismate mutase/prephenate dehydrogenase	tyrA	Amino acid biosynthesis	40.2	-	301	0	0	
8B6	EC4709	8	B6	B	6	830592	1	hypothetical protein			53	-	835	0	0	
8C5	EC4498	8	C5	C	5	838158	1	hypothetical protein			96.3	-	918	0	0	
8E6	EC4775	8	E6	E	6	846143	1	transcriptional regulator CitB	citB	Regulatory functions	19.4	-	119	0	0	
8A6	EC4661	8	A6	A	6	967606	1	"ABC transporter, ATP-binding protein"		Transport and binding proteins	13.1	-	989	0	0	
8G9	EC4751	8	G9	G	9	1033900	1	cysZ protein	cysZ	Transport and binding proteins	14.7	+	297	0	0	
8F4	EC4356	8	F4	F	4	1046481	1	selenoprotein W-related protein			29	+	174	0	0	
8B2	EC4407	8	B2	B	2	1080061	1	lactoylglutathione lyase	gloA	Energy metabolism	70.7	+	250	0	0	
8G10	EC4648	8	G10	G	10	1121502	1	hypothetical protein			26.7	+	492	0	0	
8F6	EC4809	8	F6	F	6	1133385	1	conserved hypothetical protein		Hypothetical proteins	7.3	-	484	0	0	
8G11	EC4882	8	G11	G	11	1136764	1	glyceraldehyde 3-phosphate dehydrogenase	gap	Energy metabolism	46.5	+	190	0	0	
8G12	EC5003	8	G12	G	12	1152716	1	response regulator		Regulatory functions	5.7	-	301	0	1	
8A2	EC4361	8	A2	A	2	1207310	1	hisF protein (cyclase)	hisF	Amino acid biosynthesis	37.7	+	359	0	0	
8C8	EC4818	8	C8	C	8	1283799	1	conserved hypothetical protein		Hypothetical proteins	93.1	+	646	40.1	0	
8A1	EC4526	8	A1	A	1	1341433	1	"lipoprotein, putative"		Cell envelope	70.8	+	648	0	0	
8E1	EC4261	8	E1	E	1	1343387	1	conserved hypothetical protein		Hypothetical proteins	22.2	+	603	0	1	
8E11	EC4830	8	E11	E	11	1387158	1	hypothetical protein			52.4	-	420	0	0	
8E10	EC4987	8	E10	E	10	1419097	1	"transcriptional regulator, GntR family"		Regulatory functions	10.8	-	547	0	0	
8G1	EC4297	8	G1	G	1	1472377	1	hypothetical protein			95.4	-	484	0	11	
8H9	EC4789	8	H9	H	9	1539878	1	hypothetical protein			23.9	-	107	0	1	
8D9	EC4653	8	D9	D	9	1600879	1	conserved hypothetical protein		Hypothetical proteins	31.8	+	722	0	0	
8C9	EC4647	8	C9	C	9	1616457	1	Sun/nucleolar protein family protein		Unknown function	57.8	+	474	0	12	
8E12	EC4988	8	E12	E	12	1662756	1	"glycerol-3-phosphate ABC transporter, permease protein"	ugpA	Transport and binding proteins	13.7	-	260	0	10	
8A7	EC4947	8	A7	A	7	1679473	1	conserved hypothetical protein		Hypothetical proteins	19.8	-	482	0	0	
8E3	EC4553	8	E3	E	3	1711392	1	"ABC transporter, periplasmic substrate-binding protein-related protein"		Hypothetical proteins	10.8	+	232	0	0	
8B9	EC4645	8	B9	B	9	1762373	1	helicase-related protein		Transcription	38.1	-	496	0	0	
8H7	EC4766	8	H7	H	7	1802459	1	cardiolipin synthase	cls	Cellular processes	9.2	-	555	40.1	1	
8A4	EC4595	8	A4	A	4	1857877	1	DNA-binding response regulator TorR	torR	Regulatory functions	49.4	+	165	0	0	
8H8	EC4948	8	H8	H	8	1878978	1	hypothetical protein			7.8	-	311	0	0	
8D6	EC4759	8	D6	D	6	1882812	1	hypothetical protein			29.3	-	389	0	0	
8H3	EC4591	8	H3	H	3	1993526	1	ompT protein	ompT	Transport and binding proteins	27.9	-	226	0	0	
8C12	EC4944	8	C12	C	12	2001643	1	"amino acid ABC transporter, permease protein"		Transport and binding proteins	24.6	-	523	0	0	
8H1	EC4311	8	H1	H	1	2074523	1	trigger factor	tig	Protein fate	55.1	+	948	0	0	
8C3	EC4503	8	C3	C	3	2151821	1	PilB-related protein		Unknown function	32.9	-	137	0	0	
8F12	EC5001	8	F12	F	12	2214138	1	hypothetical protein			4.1	+	412	0	0	
8F5	EC4619	8	F5	F	5	2225955	1	flagellar biosynthetic protein FlhA	flhA	Cellular processes	22.5	-	502	0	0	
8H11	EC4886	8	H11	H	11	2288047	1	flagellar M-ring protein FliF	fliF	Cellular processes	14.7	+	714	0	0	
8G5	EC4623	8	G5	G	5	2295573	1	flagellar hook-associated protein FliD	fliD	Cellular processes	8.1	+	1003	0	0	
8B1	EC4536	8	B1	B	1	2323642	1	hemK protein	hemK	DNA metabolism	14.1	+	660	44.1	0	
8A5	EC4412	8	A5	A	5	2345309	1	flagellar hook protein FlgE	flgE	Cellular processes	9.5	-	387	0	0	
8A8	EC4770	8	A8	A	8	2499822	1	hypothetical protein			24	-	281	0	0	
8C11	EC4788	8	C11	C	11	2513874	1	hypothetical protein			2.1	+	335	0	4	
8H5	EC4627	8	H5	H	5	2652534	1	conserved hypothetical protein		Hypothetical proteins	1.9	-	605	0	0	
8C1	EC4568	8	C1	C	1	2675152	1	hypothetical protein			5.6	-	224	0	0	
8D8	EC4820	8	D8	D	8	2683080	1	conserved hypothetical protein		Hypothetical proteins	7.2	+	1066	40.1	0	
8C4	EC4266	8	C4	C	4	2777148	1	"NAD(P)H oxidoreductase, putative"		Energy metabolism	8.9	-	997	0	0	
8G7	EC4710	8	G7	G	7	2879468	1	conserved hypothetical protein		Hypothetical proteins	15.8	-	303	0	0	
8D3	EC4537	8	D3	D	3	22729	2	hypothetical protein			24.3	+	706	0	0	
8B8	EC4812	8	B8	B	8	109667	2	conserved hypothetical protein		Hypothetical proteins	12.2	-	1106	0	0	
8H2	EC4495	8	H2	H	2	168102	2	polypeptide deformylase	def-2	Protein fate	22.3	+	206	0	1	
8G4	EC4358	8	G4	G	4	212781	2	hypothetical protein			68.7	+	529	0	0	
8C7	EC4660	8	C7	C	7	231680	2	conserved hypothetical protein		Hypothetical proteins	23.4	+	549	0	0	
8C6	EC4715	8	C6	C	6	252189	2	"vibriobactin and enterobactin ABC transporter, ATP-binding protein"	vctC	Transport and binding proteins	63.6	+	856	0	0	
8A3	EC4497	8	A3	A	3	278842	2	hypothetical protein			41.6	-	466	0	0	
8G8	EC4906	8	G8	G	8	341300	2	conserved hypothetical protein		Hypothetical proteins	20.9	-	1172	172	3	
8G2	EC4461	8	G2	G	2	353827	2	hypothetical protein			12.8	-	912	0	1	
8B7	EC4618	8	B7	B	7	366859	2	hypothetical protein			18.9	-	373	0	0	
8D12	EC4980	8	D12	D	12	369704	2	"killer protein, putative"		Mobile and extrachromosomal element functions	98	-	180	0	0	
8F11	EC4838	8	F11	F	11	389703	2	conserved hypothetical protein		Hypothetical proteins	50.2	-	563	446	0	
8H6	EC4863	8	H6	H	6	533473	2	hypothetical protein			20.3	+	963	0	0	
8D11	EC4794	8	D11	D	11	590392	2	sucrose-6-phosphate dehydrogenase	cscA	Energy metabolism	32.4	-	264	0	0	
8D10	EC4973	8	D10	D	10	606843	2	hypothetical protein			10.3	+	246	0	0	
8D2	EC4445	8	D2	D	2	608598	2	"transcriptional regulator, LacI family"		Regulatory functions	48.5	-	434	0	0	
8F10	EC4989	8	F10	F	10	707879	2	conserved hypothetical protein		Hypothetical proteins	18.7	+	272	0	0	
8B3	EC4499	8	B3	B	3	709317	2	L-allo-threonine aldolase	ybjU	Energy metabolism	26.6	-	87.7	0	3	
8A12	EC4888	8	A12	A	12	737616	2	hypothetical protein			23.8	+	718	0	0	
8B11	EC4786	8	B11	B	11	806780	2	"ABC transporter, ATP-binding protein"		Transport and binding proteins	40.8	+	654	0	0	
8F9	EC4747	8	F9	F	9	866835	2	TonB system transport protein ExbB1	exbB1	Transport and binding proteins	57.2	+	811	0	0	
8D1	EC4578	8	D1	D	1	913900	2	"glycine cleavage operon activator, putative"		Regulatory functions	60.6	+	624	0	0	
8C2	EC4413	8	C2	C	2	957064	2	hypothetical protein			71.9	+	165	0	0	
8F2	EC4459	8	F2	F	2	1010919	2	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	ribB	"Biosynthesis of cofactors, prosthetic groups, and carriers"	64.4	-	60	0	0	
8B5	EC4414	8	B5	B	5	1012993	2	putrescine-ornithine antiporter	potE	Transport and binding proteins	9.3	+	462	0	0	
8E9	EC4739	8	E9	E	9	1016103	2	hypothetical protein			98.7	+	628	85.7	0	
8H10	EC4700	8	H10	H	10	1042661	2	response regulator		Regulatory functions	30.4	+	609	0	0	
8E4	EC4304	8	E4	E	4	1044559	2	methyl-accepting chemotaxis protein		Cellular processes	9.4	+	260	0	0	
8E5	EC4558	8	E5	E	5	1068430	2	conserved hypothetical protein		Hypothetical proteins	17.2	+	109	0	0	
9C2	EC5048	9	C2	C	2	16312	1	valine-pyruvate aminotransferase	avtA	Amino acid biosynthesis	19.1	-	811	40.1	0	
9E12	EC5815	9	E12	E	12	62060	1	thiamin-phosphate pyrophosphorylase	thiE	"Biosynthesis of cofactors, prosthetic groups, and carriers"	10	-	737	0	0	
9G3	EC5259	9	G3	G	3	76819	1	ferritin	ftn	Transport and binding proteins	7.1	-	565	0	0	
9H3	EC5267	9	H3	H	3	86756	1	cytochrome c551 peroxidase	yhjA	Energy metabolism	18.3	-	1191	0	0	
9A4	EC5022	9	A4	A	4	110171	1	oxygen-independent coproporphyrinogen III oxidase	hemN	"Biosynthesis of cofactors, prosthetic groups, and carriers"	8.4	-	1104	42.1	0	
9E6	EC5665	9	E6	E	6	210990	1	"iron(III) ABC transporter, permease protein"		Transport and binding proteins	27.5	-	119	0	0	
9F7	EC5478	9	F7	F	7	225331	1	DNA repair protein RadC	radC	DNA metabolism	10.2	+	107	0	0	
9A11	EC5456	9	A11	A	11	236838	1	hypothetical protein			5.1	+	462	0	0	
9H9	EC5563	9	H9	H	9	290865	1	methyl-accepting chemotaxis protein		Cellular processes	9.5	-	603	0	0	
9D4	EC5082	9	D4	D	4	399198	1	sulfite reductase (NADPH) hemoprotein beta-component	cysI	Central intermediary metabolism	27.5	-	575	0	0	
9H8	EC5684	9	H8	H	8	513527	1	conserved hypothetical protein		Hypothetical proteins	6.2	+	494	0	0	
9B4	EC5040	9	B4	B	4	530868	1	"ribonuclease HI, putative"		Transcription	41.3	+	611	0	0	
9E7	EC5476	9	E7	E	7	554180	1	"DNA primase, authentic frameshift"	dnaG	DNA metabolism	1.8	-	559	0	0	
9C1	EC5145	9	C1	C	1	647927	1	beta-N-acetylhexosaminidase	chb-1	Energy metabolism	44.8	+	466	0	0	
9H12	EC5907	9	H12	H	12	652101	1	"peptide ABC transporter, ATP-binding protein"		Transport and binding proteins	33.8	+	773	0	0	
9C4	EC5068	9	C4	C	4	654267	1	"peptide ABC transporter, permease protein"		Transport and binding proteins	21.9	+	71.9	0	3	
9H1	EC5010	9	H1	H	1	657182	1	"peptide ABC transporter, periplasmic peptide-binding protein"		Transport and binding proteins	8.5	-	297	0	2	
9C5	EC5368	9	C5	C	5	694085	1	conserved hypothetical protein		Hypothetical proteins	9.6	+	747	0	0	
9D9	EC5415	9	D9	D	9	717785	1	phosphoenolpyruvate-protein phosphotransferase	ptsP	Transport and binding proteins	5.3	+	373	0	0	
9A10	EC5597	9	A10	A	10	857133	1	citX protein	citX	Energy metabolism	25.9	+	470	0	0	
9C12	EC5738	9	C12	C	12	986902	1	"capK protein, putative"		Cell envelope	22.9	-	343	0	0	
9B2	EC5046	9	B2	B	2	1011023	1	hypothetical protein			67.6	-	375	0	0	
9B12	EC5710	9	B12	B	12	1045970	1	conserved hypothetical protein		Hypothetical proteins	60.9	-	309	0	0	
9C11	EC5472	9	C11	C	11	1054260	1	hypothetical protein			86.5	-	410	0	1	
9C8	EC5590	9	C8	C	8	1097137	1	inosine monophosphate dehydrogenase-related protein		Unknown function	10.6	+	359	0	0	
9H6	EC5729	9	H6	H	6	1116385	1	"fatty oxidation complex, alpha subunit"	yfcX	Fatty acid and phospholipid metabolism	10.5	+	527	0	0	
9H10	EC5450	9	H10	H	10	1177813	1	conserved hypothetical protein		Hypothetical proteins	10.2	-	216	0	2	
9B10	EC5601	9	B10	B	10	1229236	1	hypothetical protein			11.4	+	692	0	0	
9D3	EC5161	9	D3	D	3	1249350	1	conserved hypothetical protein		Hypothetical proteins	13.5	-	767	0	0	
9E5	EC5447	9	E5	E	5	1369291	1	"DNA polymerase III, epsilon subunit, putative"		DNA metabolism	7.1	+	852	0	0	
9F5	EC5531	9	F5	F	5	1536204	1	hypothetical protein			10	-	1152	0	0	
9G9	EC5561	9	G9	G	9	1719593	1	"sensor kinase citA, putative"		Regulatory functions	6	+	303	0	0	
9F10	EC5406	9	F10	F	10	1830879	1	conserved hypothetical protein		Hypothetical proteins	9.1	-	301	0	0	
9F8	EC5674	9	F8	F	8	1831990	1	conserved hypothetical protein		Hypothetical proteins	55.6	+	989	0	0	
9A7	EC5731	9	A7	A	7	1845692	1	conserved hypothetical protein		Hypothetical proteins	6.2	-	622	0	0	
9G5	EC5537	9	G5	G	5	1900891	1	hypothetical protein			93.7	-	628	0	2	
9D7	EC5442	9	D7	D	7	1918014	1	hypothetical protein			9.7	-	73.8	0	0	
9E2	EC5196	9	E2	E	2	2011896	1	methyl-accepting chemotaxis protein		Cellular processes	20.9	+	93.7	0	0	
9G2	EC5254	9	G2	G	2	2043958	1	Hit family protein		Unknown function	86	+	305	0	0	
9A2	EC5014	9	A2	A	2	2139635	1	conserved hypothetical protein		Hypothetical proteins	16.7	+	149	0	2	
9F1	EC5347	9	F1	F	1	2150705	1	hypothetical protein			20.6	-	521	0	0	
9B8	EC5580	9	B8	B	8	2173835	1	3-oxoacyl-(acyl-carrier-protein) synthase II	fabF	Fatty acid and phospholipid metabolism	14.6	+	573	0	0	
9F2	EC5240	9	F2	F	2	2236876	1	hypothetical protein			9.3	-	178	0	0	
9F12	EC5829	9	F12	F	12	2274427	1	"adenine-specific methylase, putative"		DNA metabolism	5.5	+	737	0	0	
9B7	EC5382	9	B7	B	7	2312437	1	conserved hypothetical protein		Hypothetical proteins	10.6	+	458	0	0	
9C3	EC5081	9	C3	C	3	2324889	1	glutamyl-tRNA reductase	hemA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	99.7	+	363	0	0	
9F4	EC5124	9	F4	F	4	2347564	1	chemotaxis protein methyltransferase CheR	cheR-2	Cellular processes	58.4	+	545	0	0	
9B3	EC5071	9	B3	B	3	2387681	1	hypothetical protein			26.6	-	523	0	0	
9D1	EC5287	9	D1	D	1	2389975	1	conserved hypothetical protein		Hypothetical proteins	16.9	+	700	0	0	
9H7	EC5538	9	H7	H	7	2395191	1	cytochrome c554		Energy metabolism	8.3	+	957	0	0	
9C9	EC5403	9	C9	C	9	2453077	1	"lipoprotein, putative"		Cell envelope	33.2	+	507	0	0	
9A3	EC5336	9	A3	A	3	2465153	1	N-acetylglutamate synthase	argA	Amino acid biosynthesis	32.9	-	196	0	0	
9D8	EC5636	9	D8	D	8	2484563	1	conserved hypothetical protein		Hypothetical proteins	13.3	+	759	222	0	
9A8	EC5572	9	A8	A	8	2493978	1	"long-chain-fatty-acid--CoA ligase, putative"		Fatty acid and phospholipid metabolism	22.7	+	488	0	0	
9B5	EC5306	9	B5	B	5	2526313	1	sensor histidine kinase FexB	fexB	Regulatory functions	58	+	577	0	1	
9E4	EC5086	9	E4	E	4	2624953	1	general secretion pathway protein A	exeA	Protein fate	16	+	952	40.1	0	
9A9	EC5720	9	A9	A	9	2640307	1	hypothetical protein			7.8	-	513	0	0	
9D10	EC5703	9	D10	D	10	2656372	1	ubiH protein	ubiH	"Biosynthesis of cofactors, prosthetic groups, and carriers"	56.3	-	747	0	0	
9E1	EC5289	9	E1	E	1	2661811	1	"acetolactate synthase III, small subunit"	ilvH	Amino acid biosynthesis	28.7	+	115	0	0	
9A5	EC5262	9	A5	A	5	2665811	1	"long-chain-fatty-acid--CoA ligase, putative"		Fatty acid and phospholipid metabolism	8.8	-	1106	0	0	
9H5	EC5569	9	H5	H	5	2700271	1	"aspartate carbamoyltransferase, catalytic subunit"	pyrB	"Purines, pyrimidines, nucleosides, and nucleotides"	73.8	+	605	42.1	0	
9H4	EC5232	9	H4	H	4	2704349	1	conserved hypothetical protein		Hypothetical proteins	80.9	+	230	0	0	
9F11	EC5556	9	F11	F	11	2719449	1	"thiamine ABC transporter, ATP-binding protein, putative"		Transport and binding proteins	40.4	+	147	0	0	
9A1	EC5007	9	A1	A	1	2742956	1	uroporphyrin-III C-methyltransferase	cysG	"Biosynthesis of cofactors, prosthetic groups, and carriers"	25.2	-	406	0	0	
9B11	EC5464	9	B11	B	11	2750515	1	hypothetical protein			5.6	+	143	141	0	
9F3	EC5213	9	F3	F	3	2812020	1	hypothetical protein			84	-	613	0	0	
9G7	EC5524	9	G7	G	7	2832487	1	hypothetical protein			59.6	+	555	0	0	
9G1	EC5002	9	G1	G	1	2845352	1	primosomal protein N`	priA	DNA metabolism	99.8	+	254	0	0	
9G8	EC5680	9	G8	G	8	2855762	1	glpX protein	glpX	Unknown function	6	+	557	0	0	
9E11	EC5552	9	E11	E	11	2862849	1	"rRNA methylase, SpoU family"		Protein synthesis	33.4	+	757	0	0	
9D5	EC5374	9	D5	D	5	2866814	1	"C4-dicarboxylate transporter, anaerobic"	dcuA	Transport and binding proteins	23.8	+	283	0	0	
9D2	EC5102	9	D2	D	2	2872390	1	thiol:disulfide interchange protein DsbD	dsbD	Energy metabolism	21.7	+	1229	46.1	0	
9B1	EC5043	9	B1	B	1	2907961	1	general secretion pathway protein C	epsC	Protein fate	21.7	+	87.7	0	0	
9C7	EC5432	9	C7	C	7	83925	2	GGDEF family protein		Unknown function	15	+	1049	0	0	
9D11	EC5504	9	D11	D	11	98693	2	proton/glutamate symporter	gltP-2	Transport and binding proteins	9.8	+	803	0	0	
9C10	EC5645	9	C10	C	10	144692	2	"ribose ABC transporter, periplasmic D-ribose-binding protein"	rbsB	Transport and binding proteins	0.1	-	430	0	0	
9H2	EC5304	9	H2	H	2	181442	2	conserved hypothetical protein		Hypothetical proteins	22.6	-	561	0	0	
9H11	EC5598	9	H11	H	11	298165	2	"transcriptional regulator, HTH_3 family"		Regulatory functions	26.6	-	264	0	0	
9C6	EC5617	9	C6	C	6	301765	2	IS5 transposase		Mobile and extrachromosomal element functions	9.4	+	246	143	0	
9G12	EC5863	9	G12	G	12	357047	2	hypothetical protein			20.4	-	180	180	0	yes
9E10	EC5404	9	E10	E	10	378292	2	lipoprotein Blc	blc-3	Cell envelope	40.9	-	769	714	0	
9E3	EC5177	9	E3	E	3	435482	2	"transposase OrfAB, subunit A"	orfA	Mobile and extrachromosomal element functions	17.7	+	139	135	1	
9D6	EC5627	9	D6	D	6	492016	2	oxalate/formate antiporter		Transport and binding proteins	8.2	-	424	0	0	
9F9	EC5507	9	F9	F	9	541234	2	"ABC transporter, periplasmic substrate-binding protein"		Transport and binding proteins	2.1	+	373	0	0	
9G11	EC5566	9	G11	G	11	617496	2	conserved hypothetical protein		Hypothetical proteins	11.2	-	178	0	0	
9B9	EC5726	9	B9	B	9	642979	2	iron-containing alcohol dehydrogenase		Energy metabolism	28.4	-	301	0	0	
9E9	EC5421	9	E9	E	9	666635	2	3-hydroxy-3-methylglutaryl CoA reductase	hmgA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	8	+	500	0	0	
9A12	EC5658	9	A12	A	12	733188	2	DnaJ-related protein		Unknown function	33.7	+	268	0	0	
9G6	EC5713	9	G6	G	6	820550	2	hypothetical protein			42.9	-	202	0	0	
9F6	EC5677	9	F6	F	6	851963	2	devB protein	devB	Energy metabolism	33.8	-	450	0	0	
9G4	EC5172	9	G4	G	4	906341	2	malate synthase-related protein			37.3	-	147	0	0	
9D12	EC5809	9	D12	D	12	927361	2	"amino acid ABC transporter, periplasmic amino acid-binding protein, putative"		Transport and binding proteins	5.8	-	688	0	0	
9E8	EC5638	9	E8	E	8	940837	2	methyl-accepting chemotaxis protein		Cellular processes	10.2	-	656	0	0	
9G10	EC5414	9	G10	G	10	949958	2	"ABC transporter, ATP-binding protein"		Transport and binding proteins	16.2	-	490	0	0	
9B6	EC5585	9	B6	B	6	965798	2	methylated-DNA--protein-cysteine S-methyltransferase	ogt	DNA metabolism	60.6	-	728	0	0	
9A6	EC5571	9	A6	A	6	998185	2	mannitol operon repressor	mtlR	Regulatory functions	8.4	+	270	0	3	
10H5	EC6030	10	H5	H	5	507	1	mioC protein	mioC	Energy metabolism	69.3	-	58	0	0	
